angle,mode,regime,optimizer,n_images,rel_err_direct_mean,rel_err_direct_std,rel_err_procrustes_mean,rel_err_procrustes_std,rot_mat_err_fro_mean,rot_mat_err_fro_std,rot_geodesic_deg_mean,rot_geodesic_deg_std
105,rotated_directions,full_image,adam,8,0.634202,0.099066,0.634913,0.10196,0.160713,0.0569589,6.51592,2.31252
105,rotated_directions,full_image,gd,8,0.0397813,0.0469926,0.0397031,0.0469861,0.00689032,0.0090639,0.279636,0.366946
105,rotated_directions,random,adam,8,0.723821,0.0975325,0.730587,0.0990046,0.154969,0.0769447,6.28379,3.12354
105,rotated_directions,random,gd,8,0.384296,0.100138,0.387377,0.104099,0.0569749,0.0281874,2.30858,1.1423
105,resampled_image,full_image,adam,8,0.635005,0.0908646,0.640924,0.0984136,0.145493,0.061815,5.89853,2.50921
105,resampled_image,full_image,gd,8,0.160157,0.0726794,0.160774,0.0761471,0.0254467,0.013391,1.03103,0.54253
105,resampled_image,random,adam,8,0.687964,0.0971135,0.694169,0.107922,0.156703,0.0653885,6.35348,2.65378
105,resampled_image,random,gd,8,0.353379,0.132667,0.353252,0.135018,0.0542714,0.0268665,2.19901,1.0887
115,rotated_directions,full_image,adam,8,0.735105,0.105764,0.721735,0.0952335,0.230885,0.101271,9.37064,4.1252
115,rotated_directions,full_image,gd,8,0.0475169,0.0442326,0.0473163,0.0440879,0.00840766,0.00735265,0.340605,0.297907
115,rotated_directions,random,adam,8,0.776398,0.0793649,0.786143,0.0914978,0.232529,0.0763347,9.43454,3.10498
115,rotated_directions,random,gd,8,0.390053,0.128193,0.392694,0.131859,0.0747184,0.0371423,3.02775,1.5055
115,resampled_image,full_image,adam,8,0.737733,0.106507,0.723525,0.0934528,0.235984,0.109817,9.57926,4.47526
115,resampled_image,full_image,gd,8,0.130313,0.0366168,0.129271,0.0358054,0.017786,0.00549187,0.720584,0.222506
115,resampled_image,random,adam,8,0.749573,0.0696669,0.767191,0.0749246,0.183314,0.128251,7.44013,5.21686
115,resampled_image,random,gd,8,0.363231,0.124092,0.361434,0.124825,0.0538745,0.030414,2.18293,1.23251
125,rotated_directions,full_image,adam,8,0.757728,0.116261,0.742333,0.100447,0.352187,0.169357,14.3317,6.94557
125,rotated_directions,full_image,gd,8,0.0423371,0.0287613,0.0421167,0.0286345,0.00748242,0.00434154,0.303626,0.175592
125,rotated_directions,random,adam,8,0.793322,0.093258,0.785538,0.0916974,0.26897,0.134098,10.9247,5.46252
125,rotated_directions,random,gd,8,0.383096,0.130869,0.387239,0.136925,0.0734569,0.0485731,2.9769,1.9692
125,resampled_image,full_image,adam,8,0.76015,0.125327,0.745746,0.110922,0.349854,0.18745,14.2438,7.70432
125,resampled_image,full_image,gd,8,0.171533,0.0813697,0.17176,0.0833459,0.0254882,0.0188035,1.03281,0.761824
125,resampled_image,random,adam,8,0.770669,0.0797077,0.762051,0.09474,0.213972,0.0938877,8.68185,3.81906
125,resampled_image,random,gd,8,0.388563,0.101283,0.393193,0.104469,0.0627929,0.0292741,2.5444,1.18653
135,rotated_directions,full_image,adam,8,0.783909,0.118666,0.780675,0.116517,0.359652,0.149632,14.6297,6.12185
135,rotated_directions,full_image,gd,8,0.0468375,0.0380499,0.0465054,0.0377333,0.00944921,0.00763612,0.383098,0.309204
135,rotated_directions,random,adam,8,0.797953,0.104742,0.818334,0.112792,0.329184,0.326422,13.4788,13.5025
